syllable_type,lyrics_representation,input_text,phoneme_representation1,phoneme_representation2,phoneme_representation3,phoneme_representation4,phoneme_representation5,SysEX_header,ph1,time1,ph2,time2,ph3,time3,ph4,time4,ph5,time5,eox
ひぇ,ひぇ,ひぇ,,,hhy,yhe,ej,F0 43 1# 5D 03 0* 00,28,0C,37,5,4,0,,,,,F7
ひょ,ひょ,ひょ,,,hhy,yho,oj,F0 43 1# 5D 03 0* 00,28,0C,38,5,5,0,,,,,F7
みゃ,みゃ,みゃ,,,mhy,yha,aj,F0 43 1# 5D 03 0* 00,33,0E,35,5,1,0,,,,,F7
みゅ,みゅ,みゅ,,,mhy,yhu,uj,F0 43 1# 5D 03 0* 00,33,0E,36,5,3,0,,,,,F7
みぇ,みぇ,みぇ,,,mhy,yhe,ej,F0 43 1# 5D 03 0* 00,33,0E,37,5,4,0,,,,,F7
みょ,みょ,みょ,,,mhy,yho,oj,F0 43 1# 5D 03 0* 00,33,0E,38,5,5,0,,,,,F7
みゃ（長）,ミャ,,,,mhy,yha,aj,F0 43 1# 5D 03 0* 00,33,14,35,5,1,0,,,,,F7
みゅ（長）,ミュ,,,,mhy,yhu,uj,F0 43 1# 5D 03 0* 00,33,14,36,5,3,0,,,,,F7
みぇ（長）,ミェ,,,,mhy,yhe,ej,F0 43 1# 5D 03 0* 00,33,14,37,5,4,0,,,,,F7
みょ（長）,ミョ,,,,mhy,yho,oj,F0 43 1# 5D 03 0* 00,33,14,38,5,5,0,,,,,F7
りゃ,りゃ,りゃ,,,rhy,yha,aj,F0 43 1# 5D 03 0* 00,3E,8,35,5,1,0,,,,,F7
りゅ,りゅ,りゅ,,,rhy,yhu,uj,F0 43 1# 5D 03 0* 00,3E,8,36,5,3,0,,,,,F7
りぇ,りぇ,りぇ,,,rhy,yhe,ej,F0 43 1# 5D 03 0* 00,3E,D,37,4,4,0,,,,,F7
りょ,りょ,りょ,,,rhy,yho,oj,F0 43 1# 5D 03 0* 00,3E,8,38,5,5,0,,,,,F7
ぎゃ,ぎゃ,ぎゃ,,BB,ghy,yha,aj,F0 43 1# 5D 03 0* 00,7B,1,48,3,35,6,1,0,,,F7
ぎゅ,ぎゅ,ぎゅ,,BB,ghy,yhu,uj,F0 43 1# 5D 03 0* 00,7B,1,48,3,36,6,3,0,,,F7
ぎぇ,ぎぇ,ぎぇ,,BB,ghy,yhe,ej,F0 43 1# 5D 03 0* 00,7B,1,48,3,37,6,4,0,,,F7
